"LPAD(SKU,13,'0')"	"SKU"	"descr"	"Price"	"Type"
"0000000022343"	"022343"	"HP TONER 128A CE323A MAG"		
"0000000022354"	"022354"	"POS JOURNAL 1PLY 82.5X83MM"		
"0000000022388"	"022388"	"FOLDER FOLDER W/ FASTEN A4"		
"0000000022389"	"022389"	"FOLDER FOLDER W/ FASTEN LGL"		
"0000000022390"	"022390"	"PENCIL 2B STRIPE IT ASSTD"		
"0000000022391"	"022391"	"STAPLER  AT9929 12"		
"0000000022392"	"022392"	"STAPLER AT9902 #10"		
"0000000022393"	"022393"	"STAPLER AT9923 #10"		
"0000000022394"	"022394"	"PUNCHER AT9952 2HOLE"		
"0000000022395"	"022395"	"STAPLEWIRE #35 369 1000/BX"		
"0000000022396"	"022396"	"STAPLEWIRE #10 METAL"		
"0000000022398"	"022398"	"BALLPEN CHOOTY 5COL"		
"0000000022399"	"022399"	"BALLPEN COOL BLK 0.5"		
"0000000022400"	"022400"	"GELPEN CHOOTY 5COL 5S"		
"0000000022401"	"022401"	"GELPEN CHOOTY ASSTD COL"		
"0000000022402"	"022402"	"GELPEN CHOOTY 3COL"		
"0000000022403"	"022403"	"SCISSORS  HANDY ASSTD 5.25IN"		
"0000000022404"	"022404"	"SCISSORS TINY ASSTD 4IN"		
"0000000022405"	"022405"	"TAPE PACKING TAN 48MMX25M"		
"0000000022406"	"022406"	"TAPE PACKING CLR 48MMX25M"		
"0000000022407"	"022407"	"TAPE CELO CLR 25MMX25M"		
"0000000022408"	"022408"	"TAPE CELO CLR 12MMX25M"		
"0000000022409"	"022409"	"CLEARBOOK ASSTD LGL 20PKT"		
"0000000022410"	"022410"	"NOTEBOOK INNOV8 200PAGES"		
"0000000022411"	"022411"	"NOTEBOOK INNOV 120 PAGES"		
"0000000022412"	"022412"	"RAPOO MOUSE WRD N1190 GRN"		
"0000000022413"	"022413"	"HP TONER 124A Q6003A MAG"		
"0000000022433"	"022433"	"CASIO CALC STANDARD GX14B"		
"0000000022434"	"022434"	"FUJIXEROX COPIER SC2020"		
"0000000022435"	"022435"	"FUJIXEROX TONER CT202246 BLK"		
"0000000022436"	"022436"	"FUJIXEROX TONER CT202247 CYN"		
"0000000022437"	"022437"	"FUJIXEROX TONER CT202248 MAG"		
"0000000022438"	"022438"	"FUJIXEROX TONER CT202249 YEL"		
"0000000022439"	"022439"	"CANON PRINTER CP1200"		
"0000000022440"	"022440"	"CANON PRINTER MX927"		
"0000000022441"	"022441"	"DELUX MOUSE WRD M138 BLK"		
"0000000022442"	"022442"	"DELUX KEYBOARD WRD K6010"		
"0000000022443"	"022443"	"DELUX COMBO WRD K6010&M136"		
"0000000022444"	"022444"	"HWELL BARCODE SCANNER YJ3300"		
"0000000022445"	"022445"	"PROLINK CABLE LAN CAT5E 1M"		
"0000000022446"	"022446"	"PROLINK CABLE LAN CAT6E 1M"		
"0000000022448"	"022448"	"HP PRINTER 3775"		
"0000000022449"	"022449"	"HP PRINTER 3776"		
"0000000022450"	"022450"	"HP PRINTER 3777"		
"0000000022451"	"022451"	"BROTHER LABELLER TAPE TZEFX231"		
"0000000022452"	"022452"	"SAMSUNG TONER CLTK808S BLK"		
"0000000022453"	"022453"	"SAMSUNG TONER CLTC808S CYN"		
"0000000022454"	"022454"	"SAMSUNG TONER CLTM808S MAG"		
"0000000022455"	"022455"	"SAMSUNG TONER CLTY808S YEL"		
"0000000022456"	"022456"	"TABLE DIRECTOR UP011 MAH"		
"0000000022457"	"022457"	"TABLE DIRECTOR UP020 MAH"		
"0000000022458"	"022458"	"HP PRINTER M102A"		
"0000000022460"	"022460"	"BALLPEN SLIDER TOUCH 154201BLK"		
"0000000022461"	"022461"	"BALLPEN SLIDER TOUCH154203 BLU"		
"0000000022462"	"022462"	"BALLPEN SLIDER TOUCH154202RED"		
"0000000022463"	"022463"	"BALLPEN SLIDER TOUCH 154204GRN"		
"0000000022464"	"022464"	"FIBREPEN LINK IT 192001 BLK"		
"0000000022465"	"022465"	"FIBREPEN LINK IT 192003 BLU"		
"0000000022466"	"022466"	"FIBREPEN LINK IT 192002 RED"		
"0000000022467"	"022467"	"FIBREPEN LINK IT 192004 GRN"		
"0000000022468"	"022468"	"FIBREPEN LINK IT 192008 VLT"		
"0000000022469"	"022469"	"FIBREPEN LINK IT 192009 PNK"		
"0000000022470"	"022470"	"FIBREPEN LINK IT 192098 WALLET"		
"0000000022471"	"022471"	"BALLPEN EPSILON BLK BODY"		
"0000000022473"	"022473"	"BALLPEN EPSILON BLU BODY"		
"0000000022474"	"022474"	"ROLLERBALL ONEHYBRID N GRN 0.5"		
"0000000022475"	"022475"	"BALLPEN SLIDER TOUCH 154208VLT"		
"0000000022476"	"022476"	"BALLPEN SLIDER TOUCH 154209PNK"		
"0000000022478"	"022478"	"DELUX MOUSE WLS M136"		
"0000000022479"	"022479"	"HP TONER CF226A BLK"		
"0000000022480"	"022480"	"CASIO CALC SCI FX350EX"		
"0000000022481"	"022481"	"CASIO CALC SCI FX570EX"		
"0000000022482"	"022482"	"CASIO CALC STANDARD MC12M"		
"0000000022483"	"022483"	"CASIO CALC STANDARD DC12M"		
"0000000022484"	"022484"	"CASIO CALC STANDARD MJ120D PLU"		
"0000000022507"	"022507"	"SAFE A119 MANUAL"		
"0000000022512"	"022512"	"WHITE/CORKBOARD COMBI 18X24IN"		
"0000000022513"	"022513"	"CANON PRINTER G4000"		
"0000000022514"	"022514"	"PROLINK CABLE LAN CAT6E 2M"		
"0000000022515"	"022515"	"PROLINK CABLE LAN CAT6E 3M"		
"0000000022516"	"022516"	"WHITEBOARD WSTAND BACK2BACK"		
"0000000022517"	"022517"	"INSPIRON DESKTOP 3650 I5"		
"0000000022518"	"022518"	"CANON TONER NPG 32 BLK"		
"0000000022519"	"022519"	"BROTHER BELT CLEANER BU300CL"		
"0000000022520"	"022520"	"BATTERY MAX E91BP5 4+1"		
"0000000022522"	"022522"	"ISD-CANON INCARTRIDGE PGI820"		
"0000000022523"	"022523"	"ISD-CANON INCARTRIDGE CLI821"		
"0000000022524"	"022524"	"ISD-CANON INCARTRIDGE CLI821"		
"0000000022525"	"022525"	"ISD-CANON INCARTRIDGE CLI821"		
"0000000022526"	"022526"	"ISD-CANON INCARTRIDGE CLI821"		
"0000000022527"	"022527"	"BUBBLE SLEEVES 110X160MM 5S"		
"0000000022528"	"022528"	"BUBBLE SLEEVES 120X210MM 5S"		
"0000000022529"	"022529"	"BUBBLE SLEEVES 150X210MM 5S"		
"0000000022530"	"022530"	"BUBBLE SLEEVES 180X260MM 3S"		
"0000000022531"	"022531"	"BUBBLE SLEEVES 220X260MM 3S"		
"0000000022532"	"022532"	"BUBBLE SLEEVES 220X330MM 3S"		
"0000000022533"	"022533"	"BUBBLE SLEEVES 240X330MM 3S"		
"0000000022534"	"022534"	"BUBBLE SLEEVES 270X360MM 3S"		
"0000000022535"	"022535"	"BUBBLE SLEEVES 300X440MM 2S"		
